benchmark_id,source_dataset,source_split,use_role,import_mode,question_ru,question_en_original,reasoning_type,expected_cardinality,is_answerable,gold_preview,formal_query
ext_rubq2_test_004006,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Сколько жен было у Генриха VIII?,How many wives did Henry VIII have?,"count, single_hop",1,True,6,SELECT (COUNT(?wife) as ?answer) WHERE { wd:Q38370 wdt:P26 ?wife. }
ext_rubq2_test_004009,RuBQ_2.0,test,direct_ru_candidate,direct_ru,"Сколько премий ""Грэмми"" в ""копилке"" певца Джастина Тимберлейка?","How many Grammy awards are in singer Justin Timberlake's"" piggy Bank""?","count, multi_constraint",1,True,10,SELECT (COUNT(?award) as ?answer) WHERE { wd:Q43432 p:P166/ps:P166 ?award . ?award wdt:P31 wd:Q41254 . }
ext_rubq2_test_004014,RuBQ_2.0,test,direct_ru_candidate,direct_ru,В каком городе находится самая высокая в мире телебашня?,Which city has the world's tallest TV tower?,"ranking, multi_constraint",1,True,Токио,SELECT ?answer WHERE { ?en p:P2048/psn:P2048/wikibase:quantityAmount ?h . ?en wdt:P31 wd:Q11166728 . ?en wdt:P131* ?answer . ?answer wdt:P31 wd:Q515 . } ORDER BY DESC(?h) LIMIT 1
ext_rubq2_test_004017,RuBQ_2.0,test,direct_ru_candidate,direct_ru,На каком материке находится самая полноводная река Земли?,On which continent is the most full-flowing river on Earth?,"ranking, multi_constraint",1,True,Южная Америка,SELECT ?answer WHERE { ?en p:P2225/psn:P2225/wikibase:quantityAmount ?sq . ?en wdt:P31 wd:Q4022 . ?en wdt:P30 ?answer . } ORDER BY DESC(?sq) LIMIT 1
ext_rubq2_test_004018,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Кто старше - Владимир Путин или Дональд Трамп?,Who is older-Vladimir Putin or Donald trump?,"ranking, multi_constraint",1,True,Дональд Трамп,SELECT ?answer WHERE { VALUES ?answer { wd:Q7747 wd:Q22686 } ?answer wdt:P569 ?date . } ORDER BY ASC(?date) LIMIT 1
ext_rubq2_dev_000123,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,На каком острове жила древнегреческая поэтесса Сапфо?,On what island did the ancient Greek poet Sappho live?,multi_constraint,1,True,Лесбос,SELECT ?answer WHERE { wd:Q17892 wdt:P551 ?answer . ?answer wdt:P31 wd:Q23442 }
ext_rubq2_dev_000247,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком регионе России находится город Майкоп?,In what region of Russia is the city of Maykop located?,multi_constraint,1,True,Адыгея,SELECT ?answer WHERE { wd:Q3752 wdt:P131+ ?answer . ?answer wdt:P31/wdt:P279* wd:Q43263 }
ext_rubq2_dev_000287,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком канадском хоккейном клубе играл Алексей Поникаровский?,What canadian hockey club did Alexey ponikarovsky play for?,multi_constraint,1,True,Торонто Мейпл Лифс,SELECT ?answer WHERE { wd:Q739781 wdt:P54 ?answer . ?answer wdt:P17 wd:Q16 }
ext_rubq2_dev_000326,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком из городов находится штаб-квартира НАТО?,Which city is the headquarters of NATO?,multi_constraint,1,True,Брюссель,SELECT ?answer WHERE { wd:Q12800833 wdt:P131* ?answer . ?answer wdt:P31 wd:Q515 }
ext_rubq2_dev_000395,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Какой стиль сменила эпоха Возрождения?,What style did the Renaissance change?,multi_constraint,1,True,готика,SELECT ?answer WHERE { wd:Q4692 wdt:P155 ?answer . ?answer wdt:P31 wd:Q1792644 }
ext_rubq2_dev_000521,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,"В каком ""рукаве"" Млечного Пути находится Солнечная система?","In what ""arm"" of the milky Way is the Solar system located?",multi_constraint,1,True,Рукав Ориона,SELECT ?answer WHERE { wd:Q544 wdt:P706 ?answer . ?answer wdt:P31 wd:Q2311038 }
ext_rubq2_dev_000565,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В какой группе пел Джим Моррисон?,Which band did Jim Morrison sing in?,multi_constraint,1,True,The Doors,SELECT ?answer WHERE { wd:Q44301 wdt:P463 ?answer . ?answer wdt:P31/wdt:P279 wd:Q215380 }
ext_rubq2_dev_000720,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Какое событие в истории США послужило основой сюжета романа Стивена Кинга «11/22/63»?,"What event in the history of the United States served as the basis for the plot of Stephen king's novel ""11/22/63""?",multi_constraint,1,True,убийство Джона Кеннеди,SELECT ?answer WHERE { wd:Q723020 wdt:P921 ?answer . ?answer wdt:P17 wd:Q30 }
ext_rubq2_dev_001007,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Сколько музыкантов в квартете?,How many musicians are there in the Quartet?,multi_hop,1,True,4,SELECT ?answer WHERE { wd:Q1135557 wdt:P279 [ wdt:P1557 ?answer ]. }
ext_rubq2_dev_001009,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком виде спорта используется сицилианская защита?,In what sport is the Sicilian defense used?,multi_hop,1,True,шахматы,SELECT ?answer WHERE { wd:Q188566 wdt:P31 [ wdt:P641 ?answer ]. }
ext_rubq2_dev_001011,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Какая террористическая организация похитила и убила премьер-министра Италии Альдо Моро?,What terrorist organization kidnapped and killed Italian Prime Minister Aldo Moro?,multi_hop,1,True,Красные бригады,SELECT ?answer WHERE { wd:Q171834 wdt:P509 [ wdt:P710 ?answer ]. }
ext_rubq2_dev_001014,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,"В какой город нужно отправиться, чтобы увидеть «Сикстинскую Мадонну» Рафаэля?","Which city should I go to to see Raphael's ""Sistine Madonna""?",multi_hop,1,True,Дрезден,SELECT ?answer WHERE { wd:Q328079 wdt:P276 [ wdt:P131 ?answer ]. }
ext_rubq2_dev_001017,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Какой танец исполняют под мелодию «Кумпарситы»?,"What is the dance performed to the tune of ""La Cumparsita""?",multi_hop,1,True,танго,SELECT ?answer WHERE { wd:Q765883 wdt:P136 [ wdt:P144 ?answer ]. }
ext_rubq2_dev_001028,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком административном регионе находится город Ливорно?,What administrative region is the city of Livorno located in?,multi_hop,1,True,Тоскана,SELECT ?answer WHERE { wd:Q6761 wdt:P131 [ wdt:P131 ?answer ]. }
ext_rubq2_dev_001033,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,"Кто автор пьесы, сюжет которой лёг в основу оперы Дж. Пуччини «Турандот»?","Who is the author of the play, the plot of which formed the basis of the Opera by J. Puccini's ""Turandot""?",multi_hop,1,True,Карло Гоцци,SELECT ?answer WHERE { wd:Q207990 wdt:P144 [ wdt:P50 ?answer ]. }
ext_rubq2_dev_001034,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В какой стране закончил свою жизнь великий русский шахматист Александр Алехин?,In which country did the great Russian chess player Alexander Alekhine end his life?,multi_hop,1,True,Португалия,SELECT ?answer WHERE { wd:Q131374 wdt:P20 [ wdt:P17 ?answer ]. }
ext_rubq2_dev_001042,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,"Какой драматург, который был старше Чарли Чаплина всего на полгода, стал последним тестем великого комика?","Which playwright, who was only six months older than Charlie Chaplin, became the last father-in-law of the great comedian?",multi_hop,1,True,"О’Нил, Юджин",SELECT ?answer WHERE { wd:Q882 wdt:P26 [ wdt:P22 ?answer ]. }
ext_rubq2_dev_001044,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,"К какой династии до замужества принадлежала королева Марго, героиня романа А. Дюма?","What dynasty did Queen Margot, the heroine of the novel by A. Dumas, belong to before her marriage?",multi_hop,1,True,Валуа,SELECT ?answer WHERE { wd:Q2020094 wdt:P674 [ wdt:P53 ?answer ]. }
ext_rubq2_dev_001050,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Ветви какой королевской династии правят в Дании и Норвегии?,Branches of the Royal dynasty which ruled in Denmark and Norway?,multi_hop,2,True,Глюксбурги | Дом Монпеза,SELECT ?answer WHERE { wd:Q35 wdt:P35 [ wdt:P53 ?answer ]. }
ext_rubq2_dev_002036,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Где родилась певица Шакира?,The birthplace of the singer Shakira?,multi_hop,1,True,Колумбия,SELECT ?answer WHERE { wd:Q34424 wdt:P19 [wdt:P17 ?answer ] }
ext_rubq2_dev_002046,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Чьё произведение легло в основу гимна футбольной Лиги чемпионов?,Whose work formed the basis of the Champions League football anthem?,multi_hop,1,True,Георг Фридрих Гендель,SELECT ?answer WHERE { wd:Q1453101 wdt:P144 [ wdt:P86 ?answer ] }
ext_rubq2_dev_002048,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Что входит в состав любого органического вещества?,What is included in the composition of any organic matter?,multi_hop,1,True,углерод,SELECT ?answer WHERE { wd:Q174211 wdt:P279 [ wdt:P527 ?answer ] }
ext_rubq2_dev_002080,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,"Кто исполнил роль агента Кея в к/ф ""Люди в черном""?","Who played the role of agent Kay in K / f ""Men in black""?",qualifier_constraint,1,True,Томми Ли Джонс,SELECT ?answer WHERE { wd:Q51416 p:P161 [ ps:P161 ?answer; pq:P453 wd:Q2071077 ] }
ext_rubq2_dev_002091,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Кто был сыном бога солнца Гелиоса и океаниды Климены?,Who was the son of the sun God Helios and the oceanid Clymena?,multi_constraint,1,True,Фаэтон,SELECT ?answer WHERE { wd:Q134270 wdt:P40 ?answer . wd:Q836792 wdt:P40 ?answer . ?answer wdt:P21 wd:Q6581097 }
ext_rubq2_dev_002108,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Кто был сыном горгоны Медузы?,Who was the son of the Gorgon Medusa?,multi_constraint,2,True,Пегас | Хрисаор,SELECT ?answer WHERE { wd:Q160730 wdt:P40 ?answer . VALUES ?male { wd:Q6581097 wd:Q44148 } ?answer wdt:P21 ?male }
ext_rubq2_dev_002109,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Кто сыграл Тосю Кислицыну в фильме «Девчата»?,"Who played Tosya Kislitsyna in the movie ""Girls""?",qualifier_constraint,1,True,Надежда Васильевна Румянцева,SELECT ?answer WHERE { wd:Q2373306 p:P161 [ ps:P161 ?answer; pq:P453 wd:Q28664853 ] }
ext_rubq2_dev_002121,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Какая группа снялась в фильме Ричарда Лестера «Вечер трудного дня»?,"Which group starred in Richard Lester's""hard day's night""?",multi_constraint,1,True,The Beatles,SELECT ?answer WHERE { wd:Q913311 wdt:P161 ?answer . ?answer wdt:P31/wdt:P279* wd:Q215380 }
ext_rubq2_dev_002122,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Кто в 2016 году стал обладателем Нобелевской премии по литературе?,Who won the 2016 Nobel prize in literature?,qualifier_constraint,1,True,Боб Дилан,"SELECT ?answer WHERE { wd:Q37922 p:P1346 [ ps:P1346 ?answer; pq:P585 ""2016-01-01T00:00:00+00:00""^^xsd:dateTime ] }"
ext_rubq2_dev_003037,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,"Какой советский космический корабль в 1975 году пристыковался к американскому ""Аполлону""?",Which Soviet spacecraft docked with the American Apollo in 1975?,multi_constraint,1,True,Союз-19,SELECT ?answer WHERE { wd:Q208759 wdt:P1876 ?answer . ?answer wdt:P17 wd:Q15180 }
ext_rubq2_dev_003052,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,К какой группе инструментов относится старинный русский музыкальный инструмент гудок?,Which group of instruments does the old Russian musical instrument hooter belong to?,multi_constraint,2,True,хордофон | струнный музыкальный инструмент,SELECT ?answer WHERE { wd:Q854664 wdt:P31/wdt:P279* ?answer . ?answer wdt:P31 wd:Q1254773 }
ext_rubq2_dev_003137,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,К какой системе органов у многоклеточных организмов относятся гонопоры?,What organ system do gonopores belong to in multicellular organisms?,multi_constraint,1,True,репродуктивная система человека,SELECT ?answer WHERE { wd:Q4620674 wdt:P361 ?answer . ?answer wdt:P279 wd:Q188193 }
ext_rubq2_dev_004008,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году родился Иммануил Кант?,In what year was Immanuel Kant born?,multi_constraint,1,True,1724,SELECT ?answer WHERE { wd:Q9312 wdt:P569 ?date . BIND (YEAR(?date) as ?answer) . }
ext_rubq2_dev_006669,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году изобретен велосипед?,In what year was the Bicycle invented?,multi_constraint,1,True,1885,SELECT ?answer WHERE { wd:Q11442 wdt:P575 ?date . BIND (YEAR(?date) AS ?answer) . }
ext_rubq2_dev_006671,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году основан Ижевск?,In what year was Izhevsk founded?,multi_constraint,1,True,1760,SELECT ?answer WHERE { wd:Q5426 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer) . }
ext_rubq2_dev_006673,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году родился Сталин?,In what year was Stalin born?,multi_constraint,2,True,1878 | 1879,SELECT ?answer WHERE { wd:Q855 wdt:P569 ?date . BIND (YEAR(?date) AS ?answer) . }
ext_rubq2_dev_006721,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году был выпущен фильм Титаник?,In what year was the film Titanic released?,multi_constraint,5,True,1997 | 1997 | 1998 | 1998 | 1998,SELECT ?answer WHERE { wd:Q44578 wdt:P577 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006722,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году был образован Международный олимпийский комитет?,In what year was the international Olympic Committee formed?,multi_constraint,1,True,1894,SELECT ?answer WHERE { wd:Q40970 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006723,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году был образован СССР?,In what year was the USSR formed?,multi_constraint,1,True,1922,SELECT ?answer WHERE { wd:Q15180 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006728,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году введена в эксплуатацию железная дорога сообщением Санкт-Петербург Москва?,In what year was the St. Petersburg-Moscow railway commissioned?,multi_constraint,1,True,1851,SELECT ?answer WHERE { wd:Q803184 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006731,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году образована Новороссийская губерния?,In what year was formed the province of Novorossiya?,multi_constraint,2,True,1764 | 1796,SELECT ?answer WHERE { wd:Q326191 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006738,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году родилась Алла Пугачева?,In what year was Alla Pugacheva born?,multi_constraint,1,True,1949,SELECT ?answer WHERE { wd:Q80510 wdt:P569 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006739,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году выпущен фильм Вокзал для двоих?,In what year was the film railway Station for two released?,multi_constraint,1,True,1982,SELECT ?answer WHERE { wd:Q1965523 wdt:P577 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006742,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году вышел фильм Москва слезам не верит?,In what year did the film Moscow doesn't believe in tears come out?,multi_constraint,2,True,1979 | 1982,SELECT ?answer WHERE { wd:Q53105 wdt:P577 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006749,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком месяце произошел развал Советского Союза?,In what month did the Soviet Union collapse?,multi_constraint,1,True,12,SELECT ?answer WHERE { wd:Q15180 wdt:P576 ?date . BIND (MONTH(?date) AS ?answer). }
ext_rubq2_dev_006784,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году был выпущен первый iphone?,In what year was the first iphone released?,multi_constraint,1,True,2007,SELECT ?answer WHERE { wd:Q621427 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006792,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году был образован КГБ?,In what year was the KGB formed?,multi_constraint,1,True,1954,SELECT ?answer WHERE { wd:Q80919 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006796,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году был основан Московский университет?,In what year was Moscow University founded?,multi_constraint,1,True,1755,SELECT ?answer WHERE { wd:Q13164 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006801,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году был основан Ярославль?,In what year was Yaroslavl founded?,multi_constraint,1,True,1010,SELECT ?answer WHERE { wd:Q2423 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006809,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году был учрежден Интерпол?,In what year was Interpol established?,multi_constraint,1,True,1923,SELECT ?answer WHERE { wd:Q8475 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006812,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году был учреждён Русский театр для представления трагедий и комедий?,In what year was established by the Russian theater for presenting comedies and tragedies?,multi_constraint,1,True,1756,SELECT ?answer WHERE { wd:Q1186567 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006815,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году была учреждена Нобелевская премия?,In what year was the Nobel prize established?,multi_constraint,1,True,1969,SELECT ?answer WHERE { wd:Q47170 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006820,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году были учреждены зимние олимпийские игры?,In what year were the winter Olympic games established?,multi_constraint,1,True,1924,SELECT ?answer WHERE { wd:Q82414 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006828,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году было образовано Федеральное казначейство РФ?,In what year was the Federal Treasury of the Russian Federation established?,multi_constraint,1,True,1992,SELECT ?answer WHERE { wd:Q4208422 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006840,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году завершилась Реконкиста?,In what year did the Reconquista end?,multi_constraint,1,True,1492,SELECT ?answer WHERE { wd:Q79791 wdt:P582 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006846,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году заложен Летний сад?,In what year was the Summer garden started?,multi_constraint,1,True,1704,SELECT ?answer WHERE { wd:Q1229234 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006861,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году образован Европейский комитет по стандартизации CEN?,In what year was the European Committee for standardization CEN formed?,multi_constraint,1,True,1961,SELECT ?answer WHERE { wd:Q648403 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006863,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году образована баскетбольная ассоциация (NBA)?,In what year was the basketball Association (NBA) formed?,multi_constraint,1,True,1946,SELECT ?answer WHERE { wd:Q155223 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006865,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году образована Калининградская область?,In what year was the Kaliningrad region formed?,multi_constraint,1,True,1946,SELECT ?answer WHERE { wd:Q1749 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006866,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году образована Кубанская область?,In what year was the Kuban region formed?,multi_constraint,1,True,1860,SELECT ?answer WHERE { wd:Q1786286 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006867,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году образована Международная федерация гимнастики FIG?,In what year was the international gymnastics Federation FIG formed?,multi_constraint,1,True,1881,SELECT ?answer WHERE { wd:Q379079 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006870,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году образовано МЧС?,In what year was the Ministry of emergency situations formed?,multi_constraint,1,True,1994,SELECT ?answer WHERE { wd:Q2624171 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006871,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году окончилась Русско-японская война?,In what year did the Russo-Japanese war end?,multi_constraint,1,True,1905,SELECT ?answer WHERE { wd:Q159950 wdt:P582 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006874,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году основан город Владимир?,In what year was the city of Vladimir founded?,multi_constraint,1,True,990,SELECT ?answer WHERE { wd:Q2684 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006875,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году основан Гугл?,What year was Google founded?,multi_constraint,1,True,1998,SELECT ?answer WHERE { wd:Q95 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006877,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году основана компания Apple?,What year was Apple founded?,multi_constraint,1,True,1976,SELECT ?answer WHERE { wd:Q312 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006896,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году произошел Августовский путч?,In what year did the August putsch take place?,multi_constraint,1,True,1991,SELECT ?answer WHERE { wd:Q221382 wdt:P580 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006898,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году произошел Карибский кризис?,In what year did the Caribbean crisis occur?,multi_constraint,1,True,1962,SELECT ?answer WHERE { wd:Q128160 wdt:P580 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006909,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году родилась Людмила Гурченко?,What year was Lyudmila Gurchenko born?,multi_constraint,1,True,1935,SELECT ?answer WHERE { wd:Q68537 wdt:P569 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006910,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году родилась Мэрилин Монро?,What year was Marilyn Monroe born?,multi_constraint,1,True,1926,SELECT ?answer WHERE { wd:Q4616 wdt:P569 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006912,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году родилась Тамара Синявская?,In what year was Tamara Sinyavskaya born?,multi_constraint,2,True,1943 | 1943,SELECT ?answer WHERE { wd:Q3742244 wdt:P569 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006914,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году родился Гершвин?,What year was Gershwin born?,multi_constraint,1,True,1898,SELECT ?answer WHERE { wd:Q123829 wdt:P569 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006916,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году родился Чайковский?,In what year was Tchaikovsky born?,multi_constraint,1,True,1840,SELECT ?answer WHERE { wd:Q7315 wdt:P569 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006918,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году вышел фильм Бриллиантовая рука?,In what year was the film the diamond hand released?,multi_constraint,1,True,1968,SELECT ?answer WHERE { wd:Q1999930 wdt:P577 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006928,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году умер Брежнев?,What year did Brezhnev die?,multi_constraint,1,True,1982,SELECT ?answer WHERE { wd:Q765165 wdt:P570 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006944,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году учрежден орден Родительская слава?,In what year was the order of Parental glory established?,multi_constraint,1,True,2008,SELECT ?answer WHERE { wd:Q2011676 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006945,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году учреждена медаль За оборону Сталинграда?,In what year was the medal for the defense of Stalingrad established?,multi_constraint,1,True,1942,SELECT ?answer WHERE { wd:Q241821 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006946,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году учреждена медаль За отвагу на пожаре?,In what year was the medal for bravery in a fire established?,multi_constraint,1,True,1957,SELECT ?answer WHERE { wd:Q2443629 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_006947,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году учреждена Международная федерация бадминтона?,In what year was the international badminton Federation established?,multi_constraint,1,True,1934,SELECT ?answer WHERE { wd:Q126638 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_007059,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,В каком году было образовано Московское княжество?,In what year was the Moscow Principality established?,multi_constraint,1,True,1263,SELECT ?answer WHERE { wd:Q170770 wdt:P571 ?date . BIND (YEAR(?date) AS ?answer). }
ext_rubq2_dev_007099,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Как долго длилось первое российское кругосветное плавание под руководством Крузенштерна?,How long did Krusenstern's first Russian circumnavigation of the globe last?,temporal_or_duration,2,True,1096 | 1109,SELECT ?answer WHERE { wd:Q4349237 wdt:P580 ?begin . wd:Q4349237 wdt:P582 ?end . BIND (xsd:integer(?end - ?begin + 1) AS ?answer). }
ext_rubq2_dev_007103,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Сколько дней длился штурм Кенигсберга?,How many days did the assault on Konigsberg last?,temporal_or_duration,1,True,4,SELECT ?answer WHERE { wd:Q671528 wdt:P580 ?begin . wd:Q671528 wdt:P582 ?end . BIND (xsd:integer(?end - ?begin + 1) AS ?answer). }
ext_rubq2_dev_007109,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Сколько лет длилась Ливонская война?,How many years did the Livonian war last?,temporal_or_duration,1,True,25,SELECT ?answer WHERE { wd:Q246863 wdt:P580 ?begin . wd:Q246863 wdt:P582 ?end . BIND (YEAR(?end) - YEAR(?begin) AS ?answer). }
ext_rubq2_dev_007115,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Сколько лет продолжались Гуситские войны в Чехии?,How many years did the Hussite wars continue in the Czech Republic?,temporal_or_duration,1,True,15,SELECT ?answer WHERE { wd:Q478301 wdt:P580 ?begin . wd:Q478301 wdt:P582 ?end . BIND (YEAR(?end) - YEAR(?begin) AS ?answer). }
